date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:54:26	241802/241802	---M--	200	added ('OK')	image/jpeg	etag:%223b08a-477a31e367297%22	https://www.newmystics.com/documents/RobertPomerhn-MarcoPolo.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-MarcoPolo.jpg	(from https://www.newmystics.com/lit/RobertPomerhn.html)
04:54:26	278566/278566	---M--	200	added ('OK')	image/jpeg	etag:%2244026-477a31e640a05%22	https://www.newmystics.com/documents/RobertPomerhn-RichardTheLionHearted.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-RichardTheLionHearted.jpg	(from https://www.newmystics.com/lit/RobertPomerhn.html)
04:54:26	1077581/1077581	---M--	200	added ('OK')	image/jpeg	etag:%2210714d-477a31eb61cf3%22	https://www.newmystics.com/documents/RobertPomerhn-WokeUpGloomy.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-WokeUpGloomy.jpg	(from https://www.newmystics.com/lit/RobertPomerhn.html)
04:54:27	55840/55840	---M--	200	added ('OK')	application/pdf	etag:%22da20-477a31e4ff1c7%22	https://www.newmystics.com/documents/RobertPomerhn-Review.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-Review.pdf	(from https://www.newmystics.com/lit/RobertPomerhn.html)
04:54:27	28678/28678	---M--	200	added ('OK')	image/jpeg	etag:%227006-477a317af2052%22	https://www.newmystics.com/images/PatrickPorter_300wOPT.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/PatrickPorter_300wOPT.jpg	(from https://www.newmystics.com/lit/PatrickPorter.html)
04:54:27	36392/36392	---M--	200	added ('OK')	image/gif	etag:%228e28-477a317b90b3d%22	https://www.newmystics.com/images/PatrickPorter_flowers16_ORIG.gif	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/PatrickPorter_flowers16_ORIG.gif	(from https://www.newmystics.com/lit/PatrickPorter.html)
04:54:28	65840/65840	---M--	200	added ('OK')	application/pdf	etag:%2210130-477a31d3c0baf%22	https://www.newmystics.com/documents/PatrickPorter-Pomes.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/PatrickPorter-Pomes.pdf	(from https://www.newmystics.com/lit/PatrickPorter.html)
04:54:28	7727/7727	---M--	200	added ('OK')	image/jpeg	etag:%221e2f-5223b41873d63%22	https://www.newmystics.com/images/TylerSPruett_300w.JPG	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/TylerSPruett_300w.jpg	(from https://www.newmystics.com/lit/TylerSPruett.html)
04:54:28	52742/52742	---M--	200	added ('OK')	application/pdf	etag:%22ce06-5223b3f303890%22	https://www.newmystics.com/documents/TylerSPruett-Gentle_Amoghasiddhi.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/TylerSPruett-Gentle_Amoghasiddhi.pdf	(from https://www.newmystics.com/lit/TylerSPruett.html)
04:54:28	20724/20724	---M--	200	added ('OK')	image/jpeg	etag:%2250f4-4e6328918842c%22	https://www.newmystics.com/images/CalebPuckett.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/CalebPuckett.jpg	(from https://www.newmystics.com/lit/CalebPuckett.html)
04:54:29	98298/98298	---M--	200	added ('OK')	application/pdf	etag:%2217ffa-4e6327fa3540e%22	https://www.newmystics.com/documents/CalebPuckett-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/CalebPuckett-Poems.pdf	(from https://www.newmystics.com/lit/CalebPuckett.html)
